,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x24,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,DUMP.CCP.SH.PARAM5,uint8_t,ccp_dump->dump.ccp.packet[20],PACKET,62,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM6,uint8_t,ccp_dump->dump.ccp.packet[21],PACKET,63,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM7,uint8_t,ccp_dump->dump.ccp.packet[22],PACKET,64,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM8,uint8_t,ccp_dump->dump.ccp.packet[23],PACKET,65,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM9,uint8_t,ccp_dump->dump.ccp.packet[24],PACKET,66,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM10,uint8_t,ccp_dump->dump.ccp.packet[25],PACKET,67,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM11,uint8_t,ccp_dump->dump.ccp.packet[26],PACKET,68,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM12,uint8_t,ccp_dump->dump.ccp.packet[27],PACKET,69,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM13,uint8_t,ccp_dump->dump.ccp.packet[28],PACKET,70,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM14,uint8_t,ccp_dump->dump.ccp.packet[29],PACKET,71,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM15,uint8_t,ccp_dump->dump.ccp.packet[30],PACKET,72,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM16,uint8_t,ccp_dump->dump.ccp.packet[31],PACKET,73,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM17,uint8_t,ccp_dump->dump.ccp.packet[32],PACKET,74,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM18,uint8_t,ccp_dump->dump.ccp.packet[33],PACKET,75,0,8,HEX,,,,,,,,,
,DUMP.CCP.SH.PARAM19,uint8_t,ccp_dump->dump.ccp.packet[34],PACKET,76,0,8,HEX,,,,,,,,,
